id	name	kind	tactics	parent	platforms	summary	status	replaced_by
T1036.004	Masquerade Task or Service	subtechnique	TA0005	T1036	Linux,macOS,Windows	Adversaries may attempt to manipulate the name of a task or service to make it appear legitimate or benign.	active	
T1036.005	Match Legitimate Resource Name or Location	subtechnique	TA0005	T1036	Containers,ESXi,Linux,macOS,Windows	Adversaries may match or approximate the name or location of legitimate files, Registry keys, or other resources when naming/placing them.	active	
T1036.006	Space after Filename	subtechnique	TA0005	T1036	Linux,macOS	Adversaries can hide a program's true filetype by changing the extension of a file.	active	
T1036.007	Double File Extension	subtechnique	TA0005	T1036	Windows	Adversaries may abuse a double extension in the filename as a means of masquerading the true file type.	active	
T1036.008	Masquerade File Type	subtechnique	TA0005	T1036	Linux,macOS,Windows	Adversaries may masquerade malicious payloads as legitimate files through changes to the payload's formatting, including the file's signature, extension, icon, and contents.	active	
T1036.009	Break Process Trees	subtechnique	TA0005	T1036	Linux,macOS	An adversary may attempt to evade process tree-based analysis by modifying executed malware's parent process ID (PPID).	active	
T1036.010	Masquerade Account Name	subtechnique	TA0005	T1036	Containers,IaaS,Identity Provider,Linux,macOS,Office Suite,SaaS,Windows	Adversaries may match or approximate the names of legitimate accounts to make newly created ones appear benign.	active	
T1036.011	Overwrite Process Arguments	subtechnique	TA0005	T1036	Linux	Adversaries may modify a process's in-memory arguments to change its name in order to appear as a legitimate or benign process.	active	
T1036.012	Browser Fingerprint	subtechnique	TA0005	T1036	Linux,macOS,Windows	Adversaries may attempt to blend in with legitimate traffic by spoofing browser and system attributes like operating system, system language, platform, user-agent string, resolution, time zone, etc.	active	
T1037	Boot or Logon Initialization Scripts	technique	TA0003,TA0004		ESXi,Linux,macOS,Network Devices,Windows	Adversaries may use scripts automatically executed at boot or logon initialization to establish persistence.	active	
T1037.001	Logon Script (Windows)	subtechnique	TA0003,TA0004	T1037	Windows	Adversaries may use Windows logon scripts automatically executed at logon initialization to establish persistence.	active	
T1037.002	Login Hook	subtechnique	TA0003,TA0004	T1037	macOS	Adversaries may use a Login Hook to establish persistence executed upon user logon.	active	
T1037.003	Network Logon Script	subtechnique	TA0003,TA0004	T1037	Windows	Adversaries may use network logon scripts automatically executed at logon initialization to establish persistence.	active	
T1037.004	RC Scripts	subtechnique	TA0003,TA0004	T1037	macOS,Linux,Network Devices,ESXi	Adversaries may establish persistence by modifying RC scripts, which are executed during a Unix-like system's startup.	active	
T1037.005	Startup Items	subtechnique	TA0003,TA0004	T1037	macOS	Adversaries may use startup items automatically executed at boot initialization to establish persistence.	active	
T1038	DLL Search Order Hijacking	technique	TA0003,TA0004,TA0005		Windows	Windows systems use a common method to look for required DLLs to load into a program.	revoked	T1574.001
T1039	Data from Network Shared Drive	technique	TA0009		Linux,macOS,Windows	Adversaries may search network shares on computers they have compromised to find files of interest.	active	
T1040	Network Sniffing	technique	TA0006,TA0007		IaaS,Linux,macOS,Network Devices,Windows	Adversaries may passively sniff network traffic to capture information about an environment, including authentication material passed over the network.	active	
T1041	Exfiltration Over C2 Channel	technique	TA0010		ESXi,Linux,macOS,Windows	Adversaries may steal data by exfiltrating it over an existing command and control channel.	active	
T1042	Change Default File Association	technique	TA0003		Windows	When a file is opened, the default program used to open the file (also called the file association or handler) is checked.	revoked	T1546.001
T1043	Commonly Used Port	technique	TA0011		Linux,macOS,Windows	**This technique has been deprecated.	deprecated	
T1044	File System Permissions Weakness	technique	TA0003,TA0004		Windows,Linux,macOS	Processes may automatically execute specific binaries as part of their functionality or to perform other actions.	revoked	T1574.010
T1045	Software Packing	technique	TA0005		Windows,macOS	Software packing is a method of compressing or encrypting an executable.	revoked	T1027.002
T1046	Network Service Discovery	technique	TA0007		Containers,IaaS,Linux,macOS,Network Devices,Windows	Adversaries may attempt to get a listing of services running on remote hosts and local network infrastructure devices, including those that may be vulnerable to remote software exploitation.	active	
T1047	Windows Management Instrumentation	technique	TA0002		Windows	Adversaries may abuse Windows Management Instrumentation (WMI) to execute malicious commands and payloads.	active	
T1048	Exfiltration Over Alternative Protocol	technique	TA0010		ESXi,IaaS,Linux,macOS,Network Devices,Office Suite,SaaS,Windows	Adversaries may steal data by exfiltrating it over a different protocol than that of the existing command and control channel.	active	
T1048.001	Exfiltration Over Symmetric Encrypted Non-C2 Protocol	subtechnique	TA0010	T1048	Linux,macOS,Windows,ESXi	Adversaries may steal data by exfiltrating it over a symmetrically encrypted network protocol other than that of the existing command and control channel.	active	
T1048.002	Exfiltration Over Asymmetric Encrypted Non-C2 Protocol	subtechnique	TA0010	T1048	ESXi,Linux,macOS,Windows	Adversaries may steal data by exfiltrating it over an asymmetrically encrypted network protocol other than that of the existing command and control channel.	active	
T1048.003	Exfiltration Over Unencrypted Non-C2 Protocol	subtechnique	TA0010	T1048	ESXi,Linux,macOS,Network Devices,Windows	Adversaries may steal data by exfiltrating it over an un-encrypted network protocol other than that of the existing command and control channel.	active	
T1049	System Network Connections Discovery	technique	TA0007		ESXi,IaaS,Linux,macOS,Network Devices,Windows	Adversaries may attempt to get a listing of network connections to or from the compromised system they are currently accessing or from remote systems by querying for information over the network.	active	
T1050	New Service	technique	TA0003,TA0004		Windows	When operating systems boot up, they can start programs or applications called services that perform background system functions.	revoked	T1543.003
T1051	Shared Webroot	technique	TA0008		Windows	**This technique has been deprecated and should no longer be used.** Adversaries may add malicious content to an internally accessible website through an open network file share that contains the website's webroot or Web content directory and then browse to that content with a Web browser to cause...	deprecated	
T1052	Exfiltration Over Physical Medium	technique	TA0010		Linux,macOS,Windows	Adversaries may attempt to exfiltrate data via a physical medium, such as a removable drive.	active	
T1052.001	Exfiltration over USB	subtechnique	TA0010	T1052	Linux,Windows,macOS	Adversaries may attempt to exfiltrate data over a USB connected physical device.	active	
T1053	Scheduled Task/Job	technique	TA0002,TA0003,TA0004		Containers,ESXi,Linux,macOS,Network Devices,Windows	Adversaries may abuse task scheduling functionality to facilitate initial or recurring execution of malicious code.	active	
T1053.001	At (Linux)	subtechnique	TA0002,TA0003,TA0004	T1053	Linux	Adversaries may abuse the at utility to perform task scheduling for initial, recurring, or future execution of malicious code.	revoked	T1053.002
T1053.002	At	subtechnique	TA0002,TA0003,TA0004	T1053	Windows,Linux,macOS	Adversaries may abuse the at utility to perform task scheduling for initial or recurring execution of malicious code.	active	
T1053.003	Cron	subtechnique	TA0002,TA0003,TA0004	T1053	Linux,macOS,ESXi	Adversaries may abuse the cron utility to perform task scheduling for initial or recurring execution of malicious code.	active	
T1053.004	Launchd	subtechnique	TA0002,TA0003,TA0004	T1053	macOS	This technique is deprecated due to the inaccurate usage.	deprecated	
T1053.005	Scheduled Task	subtechnique	TA0002,TA0003,TA0004	T1053	Windows	Adversaries may abuse the Windows Task Scheduler to perform task scheduling for initial or recurring execution of malicious code.	active	
T1053.006	Systemd Timers	subtechnique	TA0002,TA0003,TA0004	T1053	Linux	Adversaries may abuse systemd timers to perform task scheduling for initial or recurring execution of malicious code.	active	
T1053.007	Container Orchestration Job	subtechnique	TA0002,TA0003,TA0004	T1053	Containers	Adversaries may abuse task scheduling functionality provided by container orchestration tools such as Kubernetes to schedule deployment of containers configured to execute malicious code.	active	
T1054	Indicator Blocking	technique	TA0005		Windows	An adversary may attempt to block indicators or events typically captured by sensors from being gathered and analyzed.	revoked	T1685
T1055	Process Injection	technique	TA0004,TA0005		Linux,macOS,Windows	Adversaries may inject code into processes in order to evade process-based defenses as well as possibly elevate privileges.	active	
T1055.001	Dynamic-link Library Injection	subtechnique	TA0004,TA0005	T1055	Windows	Adversaries may inject dynamic-link libraries (DLLs) into processes in order to evade process-based defenses as well as possibly elevate privileges.	active	
T1055.002	Portable Executable Injection	subtechnique	TA0004,TA0005	T1055	Windows	Adversaries may inject portable executables (PE) into processes in order to evade process-based defenses as well as possibly elevate privileges.	active	
T1055.003	Thread Execution Hijacking	subtechnique	TA0004,TA0005	T1055	Windows	Adversaries may inject malicious code into hijacked processes in order to evade process-based defenses as well as possibly elevate privileges.	active	
T1055.004	Asynchronous Procedure Call	subtechnique	TA0004,TA0005	T1055	Windows	Adversaries may inject malicious code into processes via the asynchronous procedure call (APC) queue in order to evade process-based defenses as well as possibly elevate privileges.	active	
T1055.005	Thread Local Storage	subtechnique	TA0004,TA0005	T1055	Windows	Adversaries may inject malicious code into processes via thread local storage (TLS) callbacks in order to evade process-based defenses as well as possibly elevate privileges.	active	
T1055.008	Ptrace System Calls	subtechnique	TA0004,TA0005	T1055	Linux	Adversaries may inject malicious code into processes via ptrace (process trace) system calls in order to evade process-based defenses as well as possibly elevate privileges.	active	
T1055.009	Proc Memory	subtechnique	TA0004,TA0005	T1055	Linux	Adversaries may inject malicious code into processes via the /proc filesystem in order to evade process-based defenses as well as possibly elevate privileges.	active	
T1055.011	Extra Window Memory Injection	subtechnique	TA0004,TA0005	T1055	Windows	Adversaries may inject malicious code into process via Extra Window Memory (EWM) in order to evade process-based defenses as well as possibly elevate privileges.	active	
T1055.012	Process Hollowing	subtechnique	TA0004,TA0005	T1055	Windows	Adversaries may inject malicious code into suspended and hollowed processes in order to evade process-based defenses.	active	
T1055.013	Process Doppelgänging	subtechnique	TA0004,TA0005	T1055	Windows	Adversaries may inject malicious code into process via process doppelgänging in order to evade process-based defenses as well as possibly elevate privileges.	active	
T1055.014	VDSO Hijacking	subtechnique	TA0004,TA0005	T1055	Linux	Adversaries may inject malicious code into processes via VDSO hijacking in order to evade process-based defenses as well as possibly elevate privileges.	active	
T1055.015	ListPlanting	subtechnique	TA0004,TA0005	T1055	Windows	Adversaries may abuse list-view controls to inject malicious code into hijacked processes in order to evade process-based defenses as well as possibly elevate privileges.	active	
T1056	Input Capture	technique	TA0006,TA0009		Linux,macOS,Network Devices,Windows	Adversaries may use methods of capturing user input to obtain credentials or collect information.	active	
T1056.001	Keylogging	subtechnique	TA0006,TA0009	T1056	Linux,macOS,Network Devices,Windows	Adversaries may log user keystrokes to intercept credentials as the user types them.	active	
T1056.002	GUI Input Capture	subtechnique	TA0006,TA0009	T1056	Linux,macOS,Windows	Adversaries may mimic common operating system GUI components to prompt users for credentials with a seemingly legitimate prompt.	active	
T1056.003	Web Portal Capture	subtechnique	TA0006,TA0009	T1056	Linux,macOS,Windows	Adversaries may install code on externally facing portals, such as a VPN login page, to capture and transmit credentials of users who attempt to log into the service.	active	
T1056.004	Credential API Hooking	subtechnique	TA0006,TA0009	T1056	Windows,Linux,macOS	Adversaries may hook into Windows application programming interface (API) functions and Linux system functions to collect user credentials.	active	
T1057	Process Discovery	technique	TA0007		ESXi,Linux,macOS,Network Devices,Windows	Adversaries may attempt to get information about running processes on a system.	active	
T1058	Service Registry Permissions Weakness	technique	TA0003,TA0004		Windows	Windows stores local service configuration information in the Registry under HKLM\SYSTEM\CurrentControlSet\Services.	revoked	T1574.011
T1059	Command and Scripting Interpreter	technique	TA0002		Containers,ESXi,IaaS,Identity Provider,Linux,macOS,Network Devices,Office Suite,SaaS,Windows	Adversaries may abuse command and script interpreters to execute commands, scripts, or binaries.	active	
T1059.001	PowerShell	subtechnique	TA0002	T1059	Windows	Adversaries may abuse PowerShell commands and scripts for execution.	active	
T1059.002	AppleScript	subtechnique	TA0002	T1059	macOS	Adversaries may abuse AppleScript for execution.	active	
T1059.003	Windows Command Shell	subtechnique	TA0002	T1059	Windows	Adversaries may abuse the Windows command shell for execution.	active	
T1059.004	Unix Shell	subtechnique	TA0002	T1059	ESXi,Linux,macOS,Network Devices	Adversaries may abuse Unix shell commands and scripts for execution.	active	
T1059.005	Visual Basic	subtechnique	TA0002	T1059	Linux,macOS,Windows	Adversaries may abuse Visual Basic (VB) for execution.	active	
T1059.006	Python	subtechnique	TA0002	T1059	ESXi,Linux,macOS,Windows	Adversaries may abuse Python commands and scripts for execution.	active	
T1059.007	JavaScript	subtechnique	TA0002	T1059	Linux,macOS,Windows	Adversaries may abuse various implementations of JavaScript for execution.	active	
T1059.008	Network Device CLI	subtechnique	TA0002	T1059	Network Devices	Adversaries may abuse scripting or built-in command line interpreters (CLI) on network devices to execute malicious command and payloads.	active	
T1059.009	Cloud API	subtechnique	TA0002	T1059	IaaS,Identity Provider,Office Suite,SaaS	Adversaries may abuse cloud APIs to execute malicious commands.	active	
T1059.010	AutoHotKey & AutoIT	subtechnique	TA0002	T1059	Windows	Adversaries may execute commands and perform malicious tasks using AutoIT and AutoHotKey automation scripts.	active	
T1059.011	Lua	subtechnique	TA0002	T1059	Linux,Network Devices,Windows,macOS	Adversaries may abuse Lua commands and scripts for execution.	active	
T1059.012	Hypervisor CLI	subtechnique	TA0002	T1059	ESXi	Adversaries may abuse hypervisor command line interpreters (CLIs) to execute malicious commands.	active	
T1059.013	Container CLI/API	subtechnique	TA0002	T1059	Containers	Adversaries may abuse built-in CLI tools or API calls to execute malicious commands in containerized environments.	active	
T1060	Registry Run Keys / Startup Folder	technique	TA0003		Windows	Adversaries may achieve persistence by adding a program to a startup folder or referencing it with a Registry run key.	revoked	T1547.001
T1061	Graphical User Interface	technique	TA0002		Linux,macOS,Windows	**This technique has been deprecated.	deprecated	
T1062	Hypervisor	technique	TA0003		Windows	**This technique has been deprecated and should no longer be used.** A type-1 hypervisor is a software layer that sits between the guest operating systems and system's hardware.	deprecated	
T1063	Security Software Discovery	technique	TA0007		macOS,Windows	Adversaries may attempt to get a listing of security software, configurations, defensive tools, and sensors that are installed on the system.	revoked	T1518.001
T1064	Scripting	technique	TA0002,TA0005		Linux,macOS,Windows	**This technique has been deprecated.	deprecated	
T1065	Uncommonly Used Port	technique	TA0011		Linux,macOS,Windows	Adversaries may conduct C2 communications over a non-standard port to bypass proxies and firewalls that have been improperly configured.	revoked	T1571
T1066	Indicator Removal from Tools	technique	TA0005		Linux,macOS,Windows	If a malicious tool is detected and quarantined or otherwise curtailed, an adversary may be able to determine why the malicious tool was detected (the indicator), modify the tool by removing the indicator, and use the updated version that is no longer detected by the target's defensive systems or...	revoked	T1027.005
T1067	Bootkit	technique	TA0003		Linux,Windows	A bootkit is a malware variant that modifies the boot sectors of a hard drive, including the Master Boot Record (MBR) and Volume Boot Record (VBR).	revoked	T1542.003
T1068	Exploitation for Privilege Escalation	technique	TA0004		Containers,Linux,macOS,Windows	Adversaries may exploit software vulnerabilities in an attempt to elevate privileges.	active	
T1069	Permission Groups Discovery	technique	TA0007		Containers,IaaS,Identity Provider,Linux,macOS,Office Suite,SaaS,Windows	Adversaries may attempt to discover group and permission settings.	active	
