id	name	abstraction	status	summary	parents
CWE-319	Cleartext Transmission of Sensitive Information	Base		Sensitive data is sent over a channel that does not encrypt it.	CWE-311
CWE-327	Use of a Broken or Risky Cryptographic Algorithm	Base		The product uses an algorithm that is no longer considered sound.	
CWE-330	Use of Insufficiently Random Values	Class		The product uses values that an actor can predict where unpredictability is required.	
CWE-338	Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG)	Base		A generator not intended for security is used to produce security-relevant values.	CWE-330
CWE-352	Cross-Site Request Forgery (CSRF)	Compound		The product acts on a request without verifying the user intended to send it.	
CWE-362	Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')	Class		Two sequences run concurrently over a shared resource without adequate synchronization.	
CWE-367	Time-of-check Time-of-use (TOCTOU) Race Condition	Base		The state checked is not the state acted on, because it changed in between.	CWE-362
CWE-369	Divide By Zero	Base		The product divides by a value it did not check for zero.	CWE-682
CWE-377	Insecure Temporary File	Base		A temporary file is created in a way that lets another actor read or replace it.	
CWE-384	Session Fixation	Base		A session identifier chosen before authentication stays valid after it.	CWE-287
CWE-400	Uncontrolled Resource Consumption	Class		The product does not bound the resources an operation may consume.	CWE-664
CWE-401	Missing Release of Memory after Effective Lifetime	Base		Memory is not released when it is no longer needed.	CWE-664
CWE-404	Improper Resource Shutdown or Release	Class		A resource is not released, or is released incorrectly.	CWE-664
CWE-415	Double Free	Variant		The same memory is freed twice, corrupting the allocator's state.	CWE-664
CWE-416	Use After Free	Base		Memory is used after it has been freed, so its contents are not what the product expects.	CWE-664
CWE-425	Direct Request ('Forced Browsing')	Base		A resource is reachable by requesting it directly, bypassing the intended flow.	CWE-862
CWE-427	Uncontrolled Search Path Element	Base		The product searches for a resource on a path an attacker can control.	
CWE-434	Unrestricted Upload of File with Dangerous Type	Base		The product accepts an uploaded file whose type lets it be executed or interpreted.	
CWE-444	Inconsistent Interpretation of HTTP Requests ('HTTP Request Smuggling')	Base		Two servers read one request stream differently, so a request is smuggled past one.	
CWE-476	NULL Pointer Dereference	Base		The product dereferences a pointer it expected to be valid and was not.	
CWE-502	Deserialization of Untrusted Data	Base		The product deserializes data an actor controls without verifying it is valid.	
CWE-522	Insufficiently Protected Credentials	Class		Credentials are stored or transmitted in a way that lets another actor take them.	
CWE-532	Insertion of Sensitive Information into Log File	Base		Sensitive data is written to a log that a wider audience can read.	CWE-200
CWE-59	Improper Link Resolution Before File Access ('Link Following')	Base		The product acts on a path without checking that a link has not redirected it.	
CWE-601	URL Redirection to Untrusted Site ('Open Redirect')	Base		The product redirects to a destination an actor supplies.	
CWE-611	Improper Restriction of XML External Entity Reference	Base		An XML document is parsed with external entity resolution left on.	
CWE-639	Authorization Bypass Through User-Controlled Key	Base		A record is retrieved by a key the user supplies, without checking they may see it.	CWE-285
CWE-664	Improper Control of a Resource Through its Lifetime	Pillar		The product does not maintain control over a resource for its whole lifetime.	
CWE-668	Exposure of Resource to Wrong Sphere	Class		A resource is made available to a sphere of control that should not reach it.	CWE-664
CWE-674	Uncontrolled Recursion	Base		The product recurses without a bound, exhausting the stack.	
CWE-681	Incorrect Conversion between Numeric Types	Base		A value changes meaning when converted between numeric types.	CWE-682
CWE-682	Incorrect Calculation	Pillar		The product calculates a value incorrectly, often a size or an index.	
CWE-693	Protection Mechanism Failure	Pillar		A protection mechanism is absent, applied incorrectly, or can be bypassed.	
CWE-703	Improper Check or Handling of Exceptional Conditions	Pillar		The product does not anticipate or handle an exceptional condition.	
CWE-707	Improper Neutralization	Class		The product does not ensure that input is well formed before it is used.	
CWE-732	Incorrect Permission Assignment for Critical Resource	Base		A resource is created with permissions that let an unintended actor reach it.	
CWE-74	Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')	Class		Input reaches a downstream component with special elements still intact.	CWE-707
CWE-754	Improper Check for Unusual or Exceptional Conditions	Class		The product does not check for conditions that occur rarely but do occur.	CWE-703
CWE-755	Improper Handling of Exceptional Conditions	Class		The product does not handle an exceptional condition once it is detected.	CWE-703
CWE-77	Improper Neutralization of Special Elements used in a Command ('Command Injection')	Class		Input is placed into a command without neutralizing it, so the command's meaning changes.	CWE-74
CWE-770	Allocation of Resources Without Limits or Throttling	Base		The product allocates on request without a limit on how much.	CWE-400
CWE-776	Improper Restriction of Recursive Entity References in DTDs ('XML Entity Expansion')	Base		An XML document declares entities that expand to exhaust memory or time.	
CWE-78	Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')	Base		Input is placed into an operating system command without neutralizing it.	CWE-77
CWE-787	Out-of-bounds Write	Base		The product writes memory before the start or past the end of a buffer.	CWE-119
CWE-79	Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')	Base		Input is placed into a web page without neutralizing it, so a script runs in another user's browser.	CWE-74
CWE-798	Use of Hard-coded Credentials	Base		Credentials are written into the product, so every installation shares them.	CWE-287
CWE-807	Reliance on Untrusted Inputs in a Security Decision	Base		A security decision is made from a value the actor controls.	CWE-693
CWE-834	Excessive Iteration	Class		The product loops without an adequate bound on the number of iterations.	
CWE-843	Access of Resource Using Incompatible Type ('Type Confusion')	Base		A resource is accessed as one type when it holds another.	CWE-664
CWE-862	Missing Authorization	Class		The product does not check whether the actor may perform the action at all.	CWE-285
CWE-863	Incorrect Authorization	Class		The product checks authorization and reaches the wrong answer.	CWE-285
CWE-89	Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')	Base		Input is placed into an SQL statement without neutralizing it, so the statement's meaning changes.	CWE-74
CWE-908	Use of Uninitialized Resource	Base		A resource is used before it has been initialized.	CWE-664
CWE-915	Improperly Controlled Modification of Dynamically-Determined Object Attributes	Base		An actor chooses which attributes of an object are written.	
CWE-917	Improper Neutralization of Special Elements used in an Expression Language Statement	Base		Input is placed into an expression language statement without neutralizing it.	CWE-74
CWE-918	Server-Side Request Forgery (SSRF)	Base		The product fetches a URL an actor supplies, reaching hosts it should not.	
CWE-94	Improper Control of Generation of Code ('Code Injection')	Base		Input reaches a facility that turns it into code, so the attacker chooses what runs.	CWE-74
